name , institution
Adrian Perrig , ETH Zurich
Andreas Krause , ETH Zurich
Angelika Steger , ETH Zurich
Bernd Gärtner , ETH Zurich
David Basin , ETH Zurich
Donald Kossmann , ETH Zurich
Emo Welzl , ETH Zurich
Friedmann Mattern , ETH Zurich
Gustavo Alonso , ETH Zurich
Joachim Buhmann , ETH Zurich
Juraj Hromkovic , ETH Zurich
Marc Pollefeys , ETH Zurich
Markus Gross , ETH Zurich
Martin T. Vechev , ETH Zurich
Olga Sorkine , ETH Zurich
Onur Mutlu , ETH Zurich
Otmar Hilliges , ETH Zurich
Peter Arbenz , ETH Zurich
Peter Müller , ETH Zurich
Peter Widmayer , ETH Zurich
Markus Püschel, ETH Zurich
Srdjan Capkun , ETH Zurich
Thomas R. Gross , ETH Zurich
Thomas Hofmann , ETH Zurich
Thomas Holenstein , ETH Zurich
Timothy Roscoe , ETH Zurich
Torsten Hoefler , ETH Zurich
Ueli Maurer , ETH Zurich
Alain Wegmann , EPFL
Amin Shokrollahi , EPFL
Anastasia Ailamaki , EPFL
Arjen K. Lenstra , EPFL
Babak Falsafi , EPFL
Bernard M. E. Moret , EPFL
Bixio Rimoldi , EPFL
Boi Faltings , EPFL
Bryan Ford , EPFL
Christoph Koch , EPFL
Christos Kozyrakis , EPFL
Edouard Bugnion , EPFL
Eduardo del Castillo-Sánchez , EPFL
Emre Telatar , EPFL
George Candea , EPFL
Giovanni De Micheli , EPFL
I. Emre Telatar , EPFL
Jakob Wenzel , EPFL
James R. Larus , EPFL
Jean-Pierre Hubaux , EPFL
Jean-Yves Le Boudec , EPFL
Jeffrey Huang , EPFL
Jeffrey T.-J. Huang , EPFL
Joseph Sifakis , EPFL
Karl Aberer , EPFL
Katerina J. Argyraki , EPFL
Marcel Salathé , EPFL
Mark Pauly , EPFL
Markus Pauly , EPFL
Martin Odersky , EPFL
Martin Vetterli , EPFL
Matthias Grossglauser , EPFL
Michael C. Gastpar , EPFL
Michael Kapralov , EPFL
Mohammad Amin Shokrollahi , EPFL
Nisheeth K. Vishnoi , EPFL
Ola Svensson , EPFL
Paolo Ienne , EPFL
Pascal Fua , EPFL
Patrick Thiran , EPFL
Pierre Dillenbourg , EPFL
Rachid Guerraoui , EPFL
Roger D. Hersch , EPFL
Roger David Hersch , EPFL
Rüdiger L. Urbanke , EPFL
Sabine Süsstrunk , EPFL
Serge Vaudenay , EPFL
Viktor Kuncak , EPFL
Wenzel Jakob , EPFL
Willy Zwaenepoel , EPFL
Wulfram Gerstner , EPFL
Alan Blackwell , Cambridge
Alan Mycroft , Cambridge
Alastair R. Beresford , Cambridge
Andrew Moore , Cambridge
Andrew M. Pitts , Cambridge
Andrew C. Rice , Cambridge
Andy Hopper , Cambridge
Anil Madhavapeddy , Cambridge
Ann A. Copestake , Cambridge
Anuj Dawar , Cambridge
Cecilia Mascolo , Cambridge
David J. Greaves , Cambridge
Frank Stajano , Cambridge
Glynn Winskel , Cambridge
Hatice Gunes , Cambridge
Ian M. Leslie , Cambridge
Ian Wassell , Cambridge
John Daugman , Cambridge
Jon Crowcroft , Cambridge
Lawrence C. Paulson , Cambridge
Marcelo P. Fiore , Cambridge
Markus Kuhn , Cambridge
Mateja Jamnik , Cambridge
Mike Gordon , Cambridge
Peter Robinson , Cambridge
Peter Sewell , Cambridge
Pietro Liò , Cambridge
Rafal Mantiuk , Cambridge
Richard Gibbens , Cambridge
Richard Mortier , Cambridge
Robert Harle , Cambridge
Robert Mullins , Cambridge
Robert Watson , Cambridge
Alan Ross Anderson , Cambridge
Sean Holden , Cambridge
Simon Moore , Cambridge
Simone Teufel , Cambridge
Stephen Clark , Cambridge
Ted Briscoe , Cambridge
Thomas Sauerwald , Cambridge
Timothy Griffin , Cambridge
Timothy Jones , Cambridge
Nir Ailon , Technion
Hagit Attiya , Technion
Reuven Bar-Yehuda , Technion
Gill Barequet , Technion
Mirela Ben-Chen , Technion
Eli Ben-Sasson , Technion
Eli Biham , Technion
Alexander M. Bronstein , Technion
Alfred M. Bruckstein , Technion
Nader H. Bshouty , Technion
Keren Censor-Hillel , Technion
Ilan Reuven Cohen , Technion
Ran El-Yaniv , Technion
Michael Elad , Technion
Gershon Elber , Technion
Yoav Etsion , Technion
Tuvi Etzion , Technion
Yuval Filmus , Technion
Eldar Fischer , Technion
Roy Friedman , Technion
Dan Geiger , Technion
Joseph Yossi Gil , Technion
Craig Gotsman , Technion
Orna Grumberg , Technion
Yuval Ishai , Technion
Michael Kaminski , Technion
Benny Kimelfeld , Technion
Ron Kimmel , Technion
Eyal Kushilevitz , Technion
Michael Lindenbaum , Technion
Johann Makowsky , Technion
Shaul Markovitch , Technion
Tal Mor , Technion
Seffi Naor , Technion
Erez Petrank , Technion
Ron Y. Pinter , Technion
Danny Raz , Technion
Ehud Rivlin , Technion
Ron M. Roth , Technion
Schuster Assaf , Technion
Roy Schwartz , Technion
Hadas Shachnai , Technion
Tomer Shlomi , Technion
Oded Shmueli , Technion
Dan Tsafrir , Technion
Marius Ungarish , Technion
Eitan Yaakobi , Technion
Eran Yahav , Technion
Irad Yavneh , Technion
Shmuel Zaks , Technion
Alessandro Abate , Oxford
Alex Rogers , Oxford
Kerry John Andrews , Oxford
Andrew Markham , Oxford
Martin Andrews , Oxford
Andrew Simpson , Oxford
Bernardo Cuenca Grau , Oxford
Bill Roscoe , Oxford
Blanca Rodríguez Bravo , Oxford
Bob Coecke , Oxford
Boris Motik , Oxford
Cas Cremers , Oxford
Dan Olteanu , Oxford
Daniel Kroening , Oxford
David Gavaghan , Oxford
David Kay , Oxford
Edith Elkind , Oxford
Elias Koutsoupias , Oxford
Gavin Lowe , Oxford
Georg Gottlob , Oxford
Hongseok Yang , Oxford
Ian Horrocks , Oxford
Ivan Flechais , Oxford
Ivan Martinovic , Oxford
James Worrell , Oxford
Jeremy Gibbons , Oxford
Jim Davies , Oxford
Joël Ouaknine , Oxford
Jonathan Barrett , Oxford
Jonathan P. Whiteley , Oxford
Kasper Bonne Rasmussen , Oxford
Leslie Ann Goldberg , Oxford
Luca Cardelli , Oxford
C.-H. Luke Ong , Oxford
Marina Jirotka , Oxford
Marta Kwiatkowska , Oxford
Michael Benedikt , Oxford
Michael Wooldridge , Oxford
Mike Spivey , Oxford
Nando de Freitas , Oxford
Nigel Shadbolt , Oxford
Niki Trigoni , Oxford
Paul Goldberg , Oxford
Peter Jeavons , Oxford
Phil Blunsom , Oxford
Rahul Santhanam , Oxford
Richard S. Bird , Oxford
Sadie Creese , Oxford
Sam Staton , Oxford
Samson Abramsky , Oxford
Shimon Whiteson , Oxford
Standa Živný , Oxford
Stefan Kiefer , Oxford
Stephen Cameron , Oxford
Stephen Pulman , Oxford
Thomas Lukasiewicz , Oxford
Tom Melham , Oxford
Tony Hoare , Oxford
Ursula Martin , Oxford
Vojtech Forejt , Oxford
Paul Anderson , Edinburgh
Stuart Anderson , Edinburgh
Myrto Arapinis , Edinburgh
Douglas Armstrong , Edinburgh
D. K. Arvind , Edinburgh
David Aspinall , Edinburgh
Malcolm D. Atkinson , Edinburgh
Chris Bishop , Edinburgh
Julian C. Bradfield , Edinburgh
Alan Bundy , Edinburgh
O. Peter Buneman , Edinburgh
James Cheney , Edinburgh
Shay B. Cohen , Edinburgh
Murray Cole , Edinburgh
Mary Cryan , Edinburgh
Vincent Danos , Edinburgh
Ilias Diakonikolas , Edinburgh
Christophe Dubach , Edinburgh
Kousha Etessami , Edinburgh
Maurice F. Fallon , Edinburgh
Wenfei Fan , Edinburgh
Vittorio Ferrari , Edinburgh
Bob Fisher , Edinburgh
Jacques D. Fleuriot , Edinburgh
Michael Fourman , Edinburgh
Björn Franke , Edinburgh
Dragan Gasevic , Edinburgh
Stephen Gilmore , Edinburgh
Nigel H. Goddard , Edinburgh
Sharon Goldwater , Edinburgh
Andrew Gordon , Edinburgh
Igor Goryanin , Edinburgh
Boris Grot , Edinburgh
Kenneth Heafield , Edinburgh
Matthias Hennig , Edinburgh
J. Michael Herrmann , Edinburgh
Chris Heunen , Edinburgh
Robin Hill , Edinburgh
Jane Hillston , Edinburgh
Paul Jackson , Edinburgh
Kyriakos Kalorkoti , Edinburgh
Elham Kashefi , Edinburgh
Frank Keller , Edinburgh
Aggelos Kiayias , Edinburgh
Simon King , Edinburgh
Ewan Klein , Edinburgh
Philipp Koehn , Edinburgh
Taku Komura , Edinburgh
Mirella Lapata , Edinburgh
Alex Lascarides , Edinburgh
Hugh Leather , Edinburgh
Lee John Eccleston , Edinburgh
Myungjin Lee , Edinburgh
Zhibin Li , Edinburgh
Leonid Libkin , Edinburgh
John Longley , Edinburgh
Adam Lopez , Edinburgh
Christopher Lucas , Edinburgh
Sebastian Maneth , Edinburgh
Mahesh K. Marina , Edinburgh
Richard Mayr , Edinburgh
Johanna D. Moore , Edinburgh
Iain Murray , Edinburgh
Vijay Nagarajan , Edinburgh
Michael O'Boyle , Edinburgh
Jon Oberlander , Edinburgh
Helen Pain , Edinburgh
Paul Patras , Edinburgh
Gordon D. Plotkin , Edinburgh
Ajitha Rajan , Edinburgh
Kunde Ramamoorthy Govindarajan , Edinburgh
Steve Renals , Edinburgh
Dave Robertson , Edinburgh
Michael Rovatsos , Edinburgh
Guido Sanguinetti , Edinburgh
Donald Sannella , Edinburgh
Rik Sarkar , Edinburgh
Paul Schweizer , Edinburgh
Peggy Seriès , Edinburgh
Richard Shillcock , Edinburgh
Hiroshi Shimodaira , Edinburgh
Ian A. Simpson , Edinburgh
Alan Smaill , Edinburgh
Ian Stark , Edinburgh
Mark Steedman , Edinburgh
Perdita Stevens , Edinburgh
Colin Stirling , Edinburgh
Amos J. Storkey , Edinburgh
Charles A. Sutton , Edinburgh
Austin Tate , Edinburgh
Henry Thompson , Edinburgh
Tommy Thorne , Edinburgh
Nigel Topham , Edinburgh
Mark C. W. van Rossum , Edinburgh
Kami Vaniea , Edinburgh
Stratis Viglas , Edinburgh
Sethu Vijayakumar , Edinburgh
Philip Wadler , Edinburgh
Barbara Webb , Edinburgh
Bonnie Nash-Webber , Edinburgh
Alan Christopher Williams , Edinburgh
Alex López-Ortiz , Waterloo
Anna Lubiw , Waterloo
Arne Storjohann , Waterloo
Bernard Wong , Waterloo
Maaz Bin Ahmad , Waterloo
Charles A. Clarke , Waterloo
Christopher Batty , Waterloo
Chrysanne DiMarco , Waterloo
Craig Kaplan , Waterloo
Daniel Berry , Waterloo
Dan Brown , Waterloo
Daniel Vogel , Waterloo
David Toman , Waterloo
Douglas R. Stinson , Waterloo
Edward Lank , Waterloo
Edith Law , Waterloo
Edward Chan , Waterloo
Eric Blais , Waterloo
Éric Schost , Waterloo
George Labahn , Waterloo
Gladimir Baranoski , Waterloo
Gordon V. Cormack , Waterloo
Grant E. Weddell , Waterloo
Gregor Richards , Waterloo
Ian Goldberg , Waterloo
Ian McKillop , Waterloo
Ian Munro , Waterloo
Ihab F. Ilyas , Waterloo
Jeff Orchard , Waterloo
Jeffrey Shallit , Waterloo
Jesse Hoey , Waterloo
C. Jimmy Lin , Waterloo
Joanne M. Atlee , Waterloo
John Watrous , Waterloo
Jonathan F. Buss , Waterloo
C. Justin Wan , Waterloo
Kate Larson , Waterloo
Kenneth Salem , Waterloo
Lap Chi Lau , Waterloo
Lila Kari , Waterloo
Mark Giesbrecht , Waterloo
Martin Karsten , Waterloo
Michael D. Godfrey , Waterloo
Ian Michael Terry , Waterloo
Ming Li , Waterloo
Nancy A. Day , Waterloo
Naomi Nishimura , Waterloo
Ondrej Lhoták , Waterloo
Pascal Poupart , Waterloo
Peter A. Buhr , Waterloo
Peter Forsyth , Waterloo
Peter J. L. van Beek , Waterloo
Prabhakar Ragde , Waterloo
Raouf Boutaba , Waterloo
Richard Cleve , Waterloo
Richard Mann , Waterloo
Richard J. Trefler , Waterloo
Robin Cohen , Waterloo
Semih Salihoglu , Waterloo
Sergey Gorbunov , Waterloo
Shai Ben-David , Waterloo
Srinivasan Keshav , Waterloo
Stephen M. Watt , Waterloo
Stephen Mann , Waterloo
M. Tamer Özsu , Waterloo
Therese C. Biedl , Waterloo
Tim Brecht , Waterloo
Timothy Chan , Waterloo
Urs Hengartner , Waterloo
William Cowan , Waterloo
Yuying Li , Waterloo
